olddate,date,time,hour,Species,Re,Vi,Lo,Dr,Fe,Gr,N,P,Nso,PSo,O,OOS,Total,Z1,Z2,Z3,Z4,Z5,Z6,Total
12/20/2018,12/20/2018,9am ,9,BW,1,,,,2,,,,,,,,,1,1,,,,1,
,12/20/2018,10am,10,BW,,,1,,2,,,,,,,,,2,,1,,,,
,12/20/2018,11am,11,BW,2,,,,1,,,,,,,,,3,,,,,,
,12/20/2018,12pm,12,BW,2,,,,1,,,,,,,,,2,1,,,,,
,12/20/2018,1pm,13,BW,1,,1,,1,,,,,,,,,1,1,1,,,,
,12/20/2018,2pm,14,BW,1,1,,,,1,,,,,,,,,1,1,,1,,
,12/20/2018,3pm,15,BW,2,,,,1,,,,,,,,,,1,,,2,,
,12/20/2018,4pm,16,BW,3,,,,,,,,,,,,,,1,,,2,,
,12/20/2018,5pm,17,BW,2,,,,1,,,,,,,,,,,1,,2,,
,12/20/2018,6pm,18,BW,,3,,,,,,,,,,,,,,1,2,,,
12/21/2018,12/21/2018,9am ,9,BW,3,,,,,,,,,,,,,,,,,2,1,
,12/21/2018,10am,10,BW,,,,,3,,,,,,,,,,1,,,2,,
,12/21/2018,11am,11,BW,2,,,,1,,,,,,,,,1,1,,,1,,
,12/21/2018,12pm,12,BW,2,,,,1,,,,,,,,,1,1,,,,1,
,12/21/2018,1pm,13,BW,3,,,,,,,,,,,,,1,1,,,,1,
,12/21/2018,2pm,14,BW,2,,,,1,,,,,,,,,1,1,,,,1,
,12/21/2018,3pm,15,BW,2,,,1,,,,,,,,,,1,1,1,,,,
,12/21/2018,4pm,16,BW,1,,,,2,,,,,,,,,1,1,,,1,,
,12/21/2018,5pm,17,BW,1,,,,2,,,,,,,,,,,1,1,1,,
,12/21/2018,6pm,18,BW,3,,,,,,,,,,,,,1,,1,1,,,
12/22/2018,12/22/2018,9am ,9,BW,1,,1,,,1,,,,,,,,1,,1,1,,,
,12/22/2018,10am,10,BW,1,,1,,1,,,,,,,,,1,,1,,1,,
,12/22/2018,11am,11,BW,2,,1,,,,,,,,,,,1,1,1,,,,
,12/22/2018,12pm,12,BW,2,,,,1,,,,,,,,,1,1,,,,1,
,12/22/2018,1pm,13,BW,2,,,,,,,,,,,1,,1,1,,,,,
,12/22/2018,2pm,14,BW,2,1,,,,,,,,,,,,,1,,,1,1,
,12/22/2018,3pm,15,BW,2,1,,,,,,,,,,,,,1,1,,1,,
,12/22/2018,4pm,16,BW,1,2,,,,,,,,,,,,,1,,,1,1,
,12/22/2018,5pm,17,BW,1,,,,2,,,,,,,,,,,1,,1,1,
,12/22/2018,6pm,18,BW,1,1,,,1,,,,,,,,,1,,,,1,1,
12/23/2018,12/23/2018,9am ,9,BW,,2,,,1,,,,,,,,,1,,,,2,,
,12/23/2018,10am,10,BW,,,2,,,1,,,,,,,,1,,,,1,1,
,12/23/2018,11am,11,BW,3,,,,,,,,,,,,,1,1,1,,,,
,12/23/2018,12pm,12,BW,3,,,,,,,,,,,,,1,1,1,,,,
,12/23/2018,1pm,13,BW,3,,,,,,,,,,,,,1,1,1,,,,
,12/23/2018,2pm,14,BW,3,,,,,,,,,,,,,1,1,1,,,,
,12/23/2018,3pm,15,BW,,1,1,,,1,,,,,,,,1,1,1,,,,
,12/23/2018,4pm,16,BW,1,1,,,1,,,,,,,,,1,1,,,,1,
,12/23/2018,5pm,17,BW,2,,,1,,,,,,,,,,1,1,,,,1,
,12/23/2018,6pm,18,BW,,1,1,,1,,,,,,,,,1,,1,,1,,
12/24/2018,12/24/2018,9am ,9,BW,1,1,,,1,,,,,,,,,,,,,1,2,
,12/24/2018,10am,10,BW,1,,,,2,,,,,,,,,1,1,,,,1,
,12/24/2018,11am,11,BW,1,,,,2,,,,,,,,,1,1,,,,1,
,12/24/2018,12pm,12,BW,2,1,,,,,,,,,,,,1,1,,,,1,
,12/24/2018,1pm,13,BW,3,,,,,,,,,,,,,1,1,,,,1,
,12/24/2018,2pm,14,BW,2,,,,,1,,,,,,,,1,1,,,,1,
,12/24/2018,3pm,15,BW,2,1,,,,,,,,,,,,1,1,,,,1,
,12/24/2018,4pm,16,BW,,1,,,2,,,,,,,,,1,1,,,1,,
,12/24/2018,5pm,17,BW,,1,,,2,,,,,,,,,1,1,,1,,,
,12/24/2018,6pm,18,BW,,,,,3,,,,,,,,,1,,2,,,,
12/25/2018,12/25/2018,9am ,9,BW,1,,1,,,1,,,,,,,,,,,,,3,
,12/25/2018,10am,10,BW,1,,,,2,,,,,,,,,1,1,,1,,,
,12/25/2018,11am,11,BW,2,,,,1,,,,,,,,,1,1,,1,,,
,12/25/2018,12pm,12,BW,2,1,,,,,,,,,,,,1,1,1,,,,
,12/25/2018,1pm,13,BW,1,,,,2,,,,,,,,,1,1,1,,,,
,12/25/2018,2pm,14,BW,2,,,,1,,,,,,,,,1,1,1,,,,
,12/25/2018,3pm,15,BW,2,,,,1,,,,,,,,,1,1,1,,,,
,12/25/2018,4pm,16,BW,3,,,,,,,,,,,,,1,1,1,,,,
,12/25/2018,5pm,17,BW,,1,,,2,,,,,,,,,1,1,1,,,,
,12/25/2018,6pm,18,BW,,2,,,1,,,,,,,,,,2,1,,,,
12/26/2018,12/26/2018,9am ,9,BW,,,1,,2,,,,,,,,,1,,1,,,1,
,12/26/2018,10am,10,BW,,1,1,,1,,,,,,,,,,1,,,,2,
,12/26/2018,11am,11,BW,,,,,2,1,,,,,,,,,2,1,,,,
,12/26/2018,12pm,12,BW,1,1,,,1,,,,,,,,,,2,,,1,,
,12/26/2018,1pm,13,BW,3,,,,,,,,,,,,,,2,,,,1,
,12/26/2018,2pm,14,BW,3,,,,,,,,,,,,,,2,,,,1,
,12/26/2018,3pm,15,BW,2,,,,1,,,,,,,,,,2,,,,1,
,12/26/2018,4pm,16,BW,1,1,,,1,,,,,,,,,,2,,,,1,
,12/26/2018,5pm,17,BW,,1,,,2,,,,,,,,,,1,,,2,,
,12/26/2018,6pm,18,BW,,1,,,2,,,,,,,,,,1,,1,1,,
2/27/2019,2/27/2019,9am ,9,BW,,1,,,1,,,,,,,1,,1,,1,,,,
,2/27/2019,10am,10,BW,1,,,,1,,,,,,,1,,,2,,,,,
,2/27/2019,11am,11,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/27/2019,12pm,12,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/27/2019,1pm,13,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/27/2019,2pm,14,BW,2,,,,,,,,,,,1,,1,1,,,,,
,2/27/2019,3pm,15,BW,1,,,,1,,,,,,,1,,1,1,,,,,
,2/27/2019,4pm,16,BW,1,1,,,1,,,,,,,,,,2,,,,1,
,2/27/2019,5pm,17,BW,1,,,,2,,,,,,,,,,1,,2,,,
,2/27/2019,6pm,18,BW,3,,,,,,,,,,,,,,3,,,,,
2/28/2019,2/28/2019,9am ,9,BW,1,1,,,1,,,,,,,,,,2,1,,,,
,2/28/2019,10am,10,BW,,,,,3,,,,,,,,,,3,,,,,
,2/28/2019,11am,11,BW,,,,,2,,,,,,,1,,,2,,,,,
,2/28/2019,12pm,12,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/28/2019,1pm,13,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/28/2019,2pm,14,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/28/2019,3pm,15,BW,2,,,,,,,,,,,1,,,2,,,,,
,2/28/2019,4pm,16,BW,1,,,,2,,,,,,,,,,2,1,,,,
,2/28/2019,5pm,17,BW,,,,,3,,,,,,,,,,,,3,,,
,2/28/2019,6pm,18,BW,,,,,3,,,,,,,,,,,,2,1,,
3/1/2019,3/1/2019,9am ,9,BW,2,,,,1,,,,,,,,,,2,,1,,,
,3/1/2019,10am,10,BW,3,,,,,,,,,,,,,,3,,,,,
,3/1/2019,11am,11,BW,2,,,,1,,,,,,,,,,2,,,,1,
,3/1/2019,12pm,12,BW,3,,,,,,,,,,,,,,2,,,,1,
,3/1/2019,1pm,13,BW,3,,,,,,,,,,,,,,2,,,,1,
,3/1/2019,2pm,14,BW,3,,,,,,,,,,,,,,2,,,1,,
,3/1/2019,3pm,15,BW,1,1,,,1,,,,,,,,,,1,1,1,,,
,3/1/2019,4pm,16,BW,1,,,,1,,,,,,,1,,,1,1,,,,
,3/1/2019,5pm,17,BW,,,,,2,,,,,,,1,,,,2,,1,,
,3/1/2019,6pm,18,BW,,,,,3,,,,,,,,,,,,3,,,
3/2/2019,3/2/2019,9am ,9,BW,1,,,,2,,,,,,,,,1,2,,,,,
,3/2/2019,10am,10,BW,2,,1,,,,,,,,,,,,3,,,,,
,3/2/2019,11am,11,BW,,2,,,1,,,,,,,,,,3,,,,,
,3/2/2019,12pm,12,BW,2,,,,1,,,,,,,,,,3,,,,,
,3/2/2019,1pm,13,BW,2,,,,1,,,,,,,,,,3,,,,,
,3/2/2019,2pm,14,BW,3,,,,,,,,,,,,,,3,,,,,
,3/2/2019,3pm,15,BW,3,,,,,,,,,,,,,,3,,,,,
,3/2/2019,4pm,16,BW,1,1,,,1,,,,,,,,,,2,,1,,,
,3/2/2019,5pm,17,BW,2,,,,1,,,,,,,,,,2,,1,,,
,3/2/2019,6pm,18,BW,,1,,,1,,,,,,1,,,,1,,1,1,,
3/3/2019,3/3/2019,9am ,9,BW,1,1,,,,,,,,,,1,,,2,,,,,
,3/3/2019,10am,10,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/3/2019,11am,11,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/3/2019,12pm,12,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/3/2019,1pm,13,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/3/2019,2pm,14,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/3/2019,3pm,15,BW,1,,,,1,,,,,,,1,,,2,,,,,
,3/3/2019,4pm,16,BW,,,,,3,,,,,,,,,,,1,2,,,
,3/3/2019,5pm,17,BW,1,1,,,1,,,,,,,,,,,,2,,1,
,3/3/2019,6pm,18,BW,1,,,,2,,,,,,,,,,,,2,1,,
3/4/2019,3/4/2019,9am ,9,BW,1,1,,,1,,,,,,,,,,2,,1,,,
,3/4/2019,10am,10,BW,1,1,,,1,,,,,,,,,,2,,1,,,
,3/4/2019,11am,11,BW,1,1,,,1,,,,,,,,,,2,,1,,,
,3/4/2019,12pm,12,BW,1,1,,,1,,,,,,,,,,2,,1,,,
,3/4/2019,1pm,13,BW,3,,,,,,,,,,,,,,3,,,,,
,3/4/2019,2pm,14,BW,3,,,,,,,,,,,,,,3,,,,,
,3/4/2019,3pm,15,BW,1,,,,2,,,,,,,,,,3,,,,,
,3/4/2019,4pm,16,BW,,3,,,,,,,,,,,,,1,1,,1,,
,3/4/2019,5pm,17,BW,,,,,1,,,,,,,2,,,,,1,,,
,3/4/2019,6pm,18,BW,,,,,2,,,,,,,1,,,,,1,1,,
3/5/2019,3/5/2019,9am ,9,BW,2,,,,1,,,,,,,,,,2,,1,,,
,3/5/2019,10am,10,BW,2,,,,1,,,,,,,,,,2,,1,,,
,3/5/2019,11am,11,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/5/2019,12pm,12,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/5/2019,1pm,13,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/5/2019,2pm,14,BW,1,1,,,,,,,,,,1,,,2,,,,,
,3/5/2019,3pm,15,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/5/2019,4pm,16,BW,,,,,3,,,,,,,,,,,3,,,,
,3/5/2019,5pm,17,BW,,1,,1,,,,,,,1,,,,1,1,,1,,
,3/5/2019,6pm,18,BW,1,1,,,,,,,,,,1,,,1,,,1,,
3/6/2019,3/6/2019,9am ,9,BW,1,1,,,1,,,,,,,,,1,,1,1,,,
,3/6/2019,10am,10,BW,2,,,,1,,,,,,,,,,2,,,1,,
,3/6/2019,11am,11,BW,2,1,,,,,,,,,,,,,2,1,,,,
,3/6/2019,12pm,12,BW,,2,,,1,,,,,,,,,,3,,,,,
,3/6/2019,1pm,13,BW,3,,,,,,,,,,,,,,3,,,,,
,3/6/2019,2pm,14,BW,1,,,,2,,,,,,,,,,3,,,,,
,3/6/2019,3pm,15,BW,2,,,,1,,,,,,,,,,3,,,,,
,3/6/2019,4pm,16,BW,1,,,,2,,,,,,,,,,1,,2,,,
,3/6/2019,5pm,17,BW,1,,,,2,,,,,,,,,,1,,2,,,
,3/6/2019,6pm,18,BW,1,,,,1,1,,,,,,,,,1,,1,1,,
3/8/2019,3/8/2019,9am ,9,BW,1,1,,,1,,,,,,,,,,1,1,,1,,
,3/8/2019,10am,10,BW,2,1,,,,,,,,,,,,,1,,,1,1,
,3/8/2019,11am,11,BW,2,1,,,,,,,,,,,,,,1,,1,1,
,3/8/2019,12pm,12,BW,2,1,,,,,,,,,,,,,1,1,,1,,
,3/8/2019,1pm,13,BW,3,,,,,,,,,,,,,,2,,,1,,
,3/8/2019,2pm,14,BW,3,,,,,,,,,,,,,,2,,,1,,
,3/8/2019,3pm,15,BW,2,,,,1,,,,,,,,,,2,,,1,,
,3/8/2019,4pm,16,BW,1,,,,2,,,,,,,,,,,2,,1,,
,3/8/2019,5pm,17,BW,,,,,3,,,,,,,,,,,2,,,,
,3/8/2019,6pm,18,BW,,1,,,2,,,,,,,,,,,,3,,,
3/9/2019,3/9/2019,9am ,9,BW,1,1,,,1,,,,,,,,,,2,,1,,,
,3/9/2019,10am,10,BW,1,1,,,1,,,,,,,,,,2,,,,1,
,3/9/2019,11am,11,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/9/2019,12pm,12,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/9/2019,1pm,13,BW,1,,,,1,,,,,,,1,,,2,,,,,
,3/9/2019,2pm,14,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/9/2019,3pm,15,BW,2,,,,,,,,,,,1,,,2,,,,,
,3/9/2019,4pm,16,BW,1,,1,,,,,,,,,1,,,2,,,,,
,3/9/2019,5pm,17,BW,,1,,,2,,,,,,,,,1,,1,1,,,
,3/9/2019,6pm,18,BW,,,,,3,,,,,,,,,,,,2,1,,
2/27/2019,2/27/2019,9am ,9,SW,,2,,,,,,,,,,,,,,,,1,1,
,2/27/2019,10am,10,SW,,1,1,,,,,,,,,,,,,,,2,,
,2/27/2019,11am,11,SW,,1,1,,,,,,,,,,,,,,,2,,
,2/27/2019,12pm,12,SW,,2,,,,,,,,,,,,1,,,,1,,
,2/27/2019,1pm,13,SW,,,,,1,1,,,,,,,,,,,,2,,
,2/27/2019,2pm,14,SW,,2,,,,,,,,,,,,,1,,,1,,
,2/27/2019,3pm,15,SW,,1,1,,,,,,,,,,,,,,,2,,
,2/27/2019,4pm,16,SW,,2,,,,,,,,,,,,,,,,1,1,
,2/27/2019,5pm,17,SW,,2,,,,,,,,,,,,,,,,2,,
,2/27/2019,6pm,18,SW,,2,,,,,,,,,,,,,,,,2,,
2/28/2019,2/28/2019,9am ,9,SW,,1,,,1,,,,,,,,,,,1,,1,,
,2/28/2019,10am,10,SW,1,1,,,,,,,,,,,,,,1,,1,,
,2/28/2019,11am,11,SW,,,1,,,,,,,,,1,,,,,,,,
,2/28/2019,12pm,12,SW,1,1,,,,,,,,,,,,1,,,1,,,
,2/28/2019,1pm,13,SW,2,,,,,,,,,,,,,1,,,,,1,
,2/28/2019,2pm,14,SW,1,1,,,,,,,,,,,,2,,,,,1,
,2/28/2019,3pm,15,SW,,1,1,,,,,,,,,,,1,,1,,,,
,2/28/2019,4pm,16,SW,,1,1,,,,,,,,,,,2,,,,,,
,2/28/2019,5pm,17,SW,,1,,,1,,,,,,,,,2,,,,,,
,2/28/2019,6pm,18,SW,1,,,,1,,,,,,,,,2,,,,,,
3/1/2019,3/1/2019,9am ,9,SW,2,,,,,,,,,,,,,2,,,,,,
,3/1/2019,10am,10,SW,,,,,,,,,,,,2,,,,,,,,
,3/1/2019,11am,11,SW,,,,,,,,,,,,2,,,,,,,,
,3/1/2019,12pm,12,SW,,,,,,,,,,,,2,,,,,,,,
,3/1/2019,1pm,13,SW,1,,,,,,,,,,,1,,1,,,,,,
,3/1/2019,2pm,14,SW,1,1,,,,,,,,,,,,1,1,,,,,
,3/1/2019,3pm,15,SW,,2,,,,,,,,,,,,,,,,,2,
,3/1/2019,4pm,16,SW,,,,,,,,,,,,2,,,,,,,,
,3/1/2019,5pm,17,SW,,,,,,,,,,,,2,,,,,,,,
,3/1/2019,6pm,18,SW,,1,,,,,,,,,,1,,1,,,,,,
3/2/2019,3/2/2019,9am ,9,SW,2,,,,,,,,,,,,,2,,,,,,
,3/2/2019,10am,10,SW,,1,,,1,,,,,,,,,2,,,,,,
,3/2/2019,11am,11,SW,,1,,,1,,,,,,,,,,,,,2,,
,3/2/2019,12pm,12,SW,,1,,,1,,,,,,,,,,,1,,1,,
,3/2/2019,1pm,13,SW,,1,,,1,,,,,,,,,,,,,2,,
,3/2/2019,2pm,14,SW,,,,,1,,,,,,,1,,1,,,,1,,
,3/2/2019,3pm,15,SW,1,,1,,,,,,,,,,,1,,,,1,,
,3/2/2019,4pm,16,SW,,1,,,1,,,,,,,,,2,,,,,,
,3/2/2019,5pm,17,SW,1,,,,1,,,,,,,,,2,,,,,,
,3/2/2019,6pm,18,SW,,2,,,,,,,,,,,,1,,,,1,,
3/3/2019,3/3/2019,9am ,9,SW,,2,,,,,,,,,,,,2,,,,,,
,3/3/2019,10am,10,SW,2,,,,,,,,,,,,,2,,,,,,
,3/3/2019,11am,11,SW,2,,,,,,,,,,,,,2,,,,,,
,3/3/2019,12pm,12,SW,1,,,,1,,,,,,,,,2,,,,,,
,3/3/2019,1pm,13,SW,2,,,,,,,,,,,,,2,,,,,,
,3/3/2019,2pm,14,SW,2,,,,,,,,,,,,,2,,,,,,
,3/3/2019,3pm,15,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/3/2019,4pm,16,SW,,,,,1,1,,,,,,,,,,,,,,
,3/3/2019,5pm,17,SW,,2,,,,,,,,,,,,,,1,,1,,
,3/3/2019,6pm,18,SW,,2,,,,,,,,,,,,2,,,,,,
3/4/2019,3/4/2019,9am ,9,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/4/2019,10am,10,SW,1,,,,,,,,,,,,1,1,,,,,,
,3/4/2019,11am,11,SW,,,1,,,,,,,,,,1,1,,,,,,
,3/4/2019,12pm,12,SW,,,1,,1,,,,,,,,,2,,,,,,
,3/4/2019,1pm,13,SW,2,,,,,,,,,,,,,2,,,,,,
,3/4/2019,2pm,14,SW,2,,,,,,,,,,,,,2,,,,,,
,3/4/2019,3pm,15,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/4/2019,4pm,16,SW,,1,,,1,,,,,,,,,1,,,,1,,
,3/4/2019,5pm,17,SW,,1,,,,,,,,,,1,,,,,,1,,
,3/4/2019,6pm,18,SW,1,,,,1,,,,,,,,,1,,,,1,,
3/5/2019,3/5/2019,9am ,9,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/5/2019,10am,10,SW,2,,,,,,,,,,,,,2,,,,,,
,3/5/2019,11am,11,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/5/2019,12pm,12,SW,2,,,,,,,,,,,,,2,,,,,,
,3/5/2019,1pm,13,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/5/2019,2pm,14,SW,1,1,,,,,,,,,,,,2,,,,,,
,3/5/2019,3pm,15,SW,2,,,,,,,,,,,,,2,,,,,,
,3/5/2019,4pm,16,SW,2,,,,,,,,,,,,,2,,,,,,
,3/5/2019,5pm,17,SW,1,,,,1,,,,,,,,,2,,,,,,
,3/5/2019,6pm,18,SW,1,1,,,,,,,,,,,,1,,,,1,,
