olddate,date,time,hour,Species,Re,Vi,Lo,Dr,Fe,Gr,N,P,Nso,PSo,O,OOS,Total,Z1,Z2,Z3,Z4,Z5,Z6,Total
,12/14/2018,4pm,16,GK,4,,,,,2,,,,,,,,,,,6,,,
,12/14/2018,5pm,17,GK,,,,,4,2,,,,,,,,,,,6,,,
,12/14/2018,6pm,18,GK,1,1,3,,,1,,,,,,,,,,,,,6,
12/15/2018,12/15/2018,9am ,9,GK,1,3,,,2,,,,,,,,,1,2,,3,,,
,12/15/2018,10am,10,GK,5,1,,,,,,,,,,,,,,4,1,,,
,12/15/2018,11am,11,GK,,,,,6,,,,,,,,,,,,6,,,
,12/15/2018,12pm,12,GK,3,1,,,2,,,,,,,,,,,1,5,,,
,12/15/2018,1pm,13,GK,4,1,,,1,,,,,,,,,,,1,5,,,
,12/15/2018,2pm,14,GK,6,,,,,,,,,,,,,,,,6,,,
,12/15/2018,3pm,15,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/15/2018,4pm,16,GK,6,,,,,,,,,,,,,,,,6,,,
,12/15/2018,5pm,17,GK,,,1,,4,1,,,,,,,,,,4,2,,,
,12/15/2018,6pm,18,GK,3,1,,,2,,,,,,,,,,,,3,,3,
12/16/2018,12/16/2018,9am ,9,GK,,2,,,3,1,,,,,,,,,,5,1,,,
,12/16/2018,10am,10,GK,1,,,,4,1,,,,,,,,,,6,,,,
,12/16/2018,11am,11,GK,2,1,,,2,1,,,,,,,,,,,6,,,
,12/16/2018,12pm,12,GK,4,1,,,1,,,,,,,,,,,2,4,,,
,12/16/2018,1pm,13,GK,4,1,,1,,,,,,,,,,,,6,,,,
,12/16/2018,2pm,14,GK,3,1,,,2,,,,,,,,,,,,6,,,
,12/16/2018,3pm,15,GK,5,,,,,1,,,,,,,,,,,6,,,
,12/16/2018,4pm,16,GK,6,,,,,,,,,,,,,,,,6,,,
,12/16/2018,5pm,17,GK,2,1,,,3,,,,,,,,,,,,4,2,,
,12/16/2018,6pm,18,GK,2,,,,3,1,,,,,,,,,,1,4,,1,
12/17/2018,12/17/2018,9am ,9,GK,,6,,,,,,,,,,,,,,,6,,,
,12/17/2018,10am,10,GK,2,,,,2,,2,,,,,,,,,4,2,,,
,12/17/2018,11am,11,GK,1,1,1,,3,,,,,,,,,5,,1,,,,
,12/17/2018,12pm,12,GK,2,3,,,1,,,,,,,,,,,,6,,,
,12/17/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/17/2018,2pm,14,GK,4,1,1,,,,,,,,,,,,,1,5,,,
,12/17/2018,3pm,15,GK,4,1,,,1,,,,,,,,,,,1,5,,,
,12/17/2018,4pm,16,GK,3,,,,3,,,,,,,,,,,1,5,,,
,12/17/2018,5pm,17,GK,1,,,,5,,,,,,,,,,,,,3,3,
,12/17/2018,6pm,18,GK,,4,,,,,2,,,,,,,,,3,2,,1,
12/18/2018,12/18/2018,9am ,9,GK,,,,,4,,2,,,,,,,,,6,,,,
,12/18/2018,10am,10,GK,1,1,,,3,1,,,,,,,,,,3,3,,,
,12/18/2018,11am,11,GK,5,1,,,,,,,,,,,,,,1,5,,,
,12/18/2018,12pm,12,GK,2,,,,3,1,,,,,,,,,,6,,,,
,12/18/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/18/2018,2pm,14,GK,3,,,,2,1,,,,,,,,,,,5,1,,
,12/18/2018,3pm,15,GK,6,,,,,,,,,,,,,,,1,5,,,
,12/18/2018,4pm,16,GK,3,,,,2,1,,,,,,,,,,1,4,1,,
,12/18/2018,5pm,17,GK,,2,1,,2,1,,,,,,,,,,,5,,1,
,12/18/2018,6pm,18,GK,2,,,,2,2,,,,,,,,,,,2,,4,
12/19/2018,12/19/2018,9am ,9,GK,,,,,6,,,,,,,,,,,,6,,,
,12/19/2018,10am,10,GK,5,,,,1,,,,,,,,,,,4,2,,,
,12/19/2018,11am,11,GK,2,1,,,3,,,,,,,,,,,,5,1,,
,12/19/2018,12pm,12,GK,3,,,,3,,,,,,,,,,,1,5,,,
,12/19/2018,1pm,13,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/19/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/19/2018,3pm,15,GK,5,1,,,,,,,,,,,,,,1,5,,,
,12/19/2018,4pm,16,GK,,1,,1,3,1,,,,,,,,,,,4,1,1,
,12/19/2018,5pm,17,GK,1,1,,,4,,,,,,,,,,,,5,,1,
,12/19/2018,6pm,18,GK,3,,,,3,,,,,,,,,,,2,3,,1,
12/20/2018,12/20/2018,9am ,9,GK,2,,,,4,,,,,,,,,,,,5,1,,
,12/20/2018,10am,10,GK,1,,,,5,,,,,,,,,,,1,5,,,
,12/20/2018,11am,11,GK,5,,,1,,,,,,,,,,,,,6,,,
,12/20/2018,12pm,12,GK,4,,,,1,1,,,,,,,,,,,6,,,
,12/20/2018,1pm,13,GK,6,,,,,,,,,,,,,,,,6,,,
,12/20/2018,2pm,14,GK,5,,,,1,,,,,,,,,6,,,,,,
,12/20/2018,3pm,15,GK,3,,,,3,,,,,,,,,2,,1,3,,,
,12/20/2018,4pm,16,GK,3,1,,,2,,,,,,,,,,,2,4,,,
,12/20/2018,5pm,17,GK,2,2,,,2,,,,,,,,,,,,,1,5,
,12/20/2018,6pm,18,GK,3,,,,2,1,,,,,,,,,,,5,1,,
12/21/2018,12/21/2018,9am ,9,GK,,6,,,,,,,,,,,,3,,3,,,,
,12/21/2018,10am,10,GK,2,2,,,2,,,,,,,,,,,,6,,,
,12/21/2018,11am,11,GK,1,,,,4,1,,,,,,,,,,1,5,,,
,12/21/2018,12pm,12,GK,5,1,,,,,,,,,,,,,,1,5,,,
,12/21/2018,1pm,13,GK,5,,,,,,,,,,,1,,,,,5,,,
,12/21/2018,2pm,14,GK,5,,,,1,,,,,,,,,,,1,5,,,
,12/21/2018,3pm,15,GK,3,,,,3,,,,,,,,,,,,5,1,,
